0.0,0.643
0.02,0.691
0.03,0.656
0.04,0.643
0.05,0.643
0.06,0.643
0.07,0.644
0.08,0.644
0.09,0.644
0.10,0.645
0.12,0.646
0.14,0.647
0.16,0.648
0.18,0.650
0.20,0.651
0.22,0.653
0.24,0.655
0.26,0.658
0.28,0.660
0.30,0.663
0.32,0.665
0.34,0.668
0.36,0.671
0.38,0.675
0.40,0.678
0.42,0.682
0.44,0.686
0.46,0.690
0.48,0.694
0.50,0.699
0.52,0.703
0.54,0.708
0.56,0.713
0.58,0.719
0.60,0.724
0.65,0.740
0.70,0.770
0.75,0.810
0.80,0.870
0.85,0.940
0.90,1.020
0.95,1.080
1.00,1.100
1.05,1.060
1.10,1.000
1.20,0.910
1.30,0.840
1.50,0.750
2.00,0.650
