0.0,0.660
0.02,0.705
0.03,0.672
0.04,0.660
0.05,0.660
0.06,0.660
0.07,0.660
0.08,0.661
0.09,0.661
0.10,0.661
0.12,0.662
0.14,0.663
0.16,0.664
0.18,0.666
0.20,0.667
0.22,0.669
0.24,0.671
0.26,0.673
0.28,0.660
0.30,0.663
0.32,0.665
0.34,0.668
0.36,0.671
0.38,0.675
0.40,0.678
0.42,0.682
0.44,0.690
0.46,0.695
0.48,0.700
0.50,0.710
0.52,0.715
0.54,0.722
0.56,0.728
0.58,0.735
0.60,0.742
0.65,0.760
0.70,0.790
0.75,0.835
0.80,0.900
0.85,0.970
0.90,1.050
0.95,1.110
1.00,1.130
1.05,1.090
1.10,1.030
1.20,0.940
1.30,0.870
1.50,0.780
2.00,0.680
